link,comment_num,price,img_url,title
http://product.dangdang.com/1275369707.html,18,55.00,http://img3x7.ddimg.cn/29/20/1275369707-1_u_2.jpg,磊科 NW362 300M 无线USB网卡 NW360升级版 台式机接收器
http://product.dangdang.com/1269145608.html,39,279.00,http://img3x8.ddimg.cn/60/24/1269145608-1_u_3.jpg,华为荣耀盒子 标准版4K高清播放器网络电视机顶盒子 无线wifi蓝牙硬盘播放器 四核八显PK小米天猫魔盒 M321
http://product.dangdang.com/1390661302.html,0,599.00,http://img3x2.ddimg.cn/85/22/1390661302-1_u_5.jpg,华为E5 E5756 42M极速 3G无线路由器(直插3G联通SIM卡) wifi无线 华为e5-0911 新上市
http://product.dangdang.com/1258805422.html,2,198.00,http://img3x2.ddimg.cn/28/6/1258805422-1_u_2.jpg,移动LTE 4G上网卡 4G网络无线mifi 资费卡 全国12G累计半年卡 累计套餐
http://product.dangdang.com/1252880323.html,16,129.00,http://img3x3.ddimg.cn/79/13/1252880323-1_u_3.jpg,上海联通3g4g资费卡 上网卡 联通24g流量卡 累计一年 ipad 无线上网资费卡 仅限上海本地
http://product.dangdang.com/1029399608.html,94,129.00,http://img3x8.ddimg.cn/83/1/1029399608-1_u_2.jpg,TP-LINK TL-WR720N 150M迷你型3G无线路由器 家用wifi出差便携ap有线网络信号转换器
http://product.dangdang.com/1245114023.html,2,45.00,http://img3x3.ddimg.cn/32/13/1245114023-1_u_1.jpg,中国电信 电信4g上网卡 电信4g手机卡 49元包2g流量卡 上海本地4G套餐 随用随激活 畅享4G 语言加流量 2G流量 电信2G
http://product.dangdang.com/1132313095.html,0,380.00,http://img3x5.ddimg.cn/1/23/1132313095-1_u_1.jpg,HUAWEI华为E5771s-852 移动3G4G无线路由器 MiFi充电宝 便携随身wifi PLUS
http://product.dangdang.com/1132319995.html,0,380.00,http://img3x5.ddimg.cn/70/4/1132319995-1_u_1.jpg,HUAWEI华为B310As-852电信移动联通LTE3网4G移动3G无线宽带CPE路由器 升级版 B310As-852 LTE 4G无线路由
http://product.dangdang.com/1132508195.html,0,168.00,http://img3x5.ddimg.cn/71/22/1132508195-1_u_1.jpg,中国电信 北京电信4G上网卡 资费套餐卡 先锋卡5G/月(4G北京+1G漫游） 半年(7个月）
http://product.dangdang.com/1132311395.html,0,540.00,http://img3x5.ddimg.cn/83/25/1132311395-1_u_1.jpg,Huawei 华为 随身随行WiFi Plus联通4G3G版E5771s-856无线路由器 充电宝
http://product.dangdang.com/1132322195.html,0,470.00,http://img3x5.ddimg.cn/92/21/1132322195-1_u_1.jpg,HUAWEI华为B315S-936 联通4G3G移动电信4G无线WIFI路由器CPE
http://product.dangdang.com/1132323095.html,0,420.00,http://img3x5.ddimg.cn/2/33/1132323095-1_u_1.jpg,华为华为B593S-850移动4G 3G路由器直插卡LTE CPE企业4G wifi路由器 支持32用户 移动4G3G 全国联保
http://product.dangdang.com/1132508495.html,0,390.00,http://img3x5.ddimg.cn/74/26/1132508495-1_u_2.jpg,中国电信4G上网卡 先锋卡年卡 北京电信天翼4G 每月6GB(5G北京+1G全国）13个月
http://product.dangdang.com/1124602112.html,6,48.00,http://img3x2.ddimg.cn/29/25/1124602112-1_u_2.jpg,韩国mosiso iPad mini4、iPad Air复古休眠保护套皮套 iPad5保护套 iPad Air保护壳 ipad mini保护套【赠贴膜6件套】
http://product.dangdang.com/1156019512.html,14,19.90,http://img3x2.ddimg.cn/76/22/1156019512-1_u_6.jpg,I-Mu/幻响 指环扣粘贴式创意手机支架 iPhone6懒人防摔手机支架通用 手机支架 手机平板桌面懒人支架
http://product.dangdang.com/1292397039.html,37,3799,http://img3x9.ddimg.cn/54/26/1292397039-1_u_17.jpg,联想（ThinkPad）轻薄系列E470(20H1A030CD)14英寸笔记本电脑(i3-6006U 8G 500G高速硬盘 2G独显 Win10)黑色
http://product.dangdang.com/1281567939.html,0,11199,http://img3x9.ddimg.cn/69/12/1281567939-1_u_11.jpg,联想（Thinkpad）X1 CARBON（20FBA01YCD ) 14英寸笔记本电脑（i5-6200U 8G 256GB SSD FHD Win10 PRO  带背光键盘）
http://product.dangdang.com/1294606505.html,0,4198,http://img3x5.ddimg.cn/38/0/1294606505-1_u_3.jpg,惠普（HP）24-g032cn 23.8英寸一体机电脑（i3-6100U 4G 1T 2G独显 IPS FHD Win10）
http://product.dangdang.com/1272049536.html,10,4150,http://img3x6.ddimg.cn/21/7/1272049536-1_u_4.jpg,联想（Lenovo）扬天S5130 23英寸一体机电脑（i3-6100U 4G内存 1T硬盘 2G独显 DVD刻录 Win7）银色
http://product.dangdang.com/1051426248.html,1,4988,http://img3x8.ddimg.cn/15/23/1051426248-1_u_2.jpg,联想（Lenovo）扬天S4130 21.5英寸一体机电脑（i5-6200u 8G内存 1T硬盘 2G独显 DVDRW Win10）白色
http://product.dangdang.com/1152509334.html,77,78.00,http://img3x4.ddimg.cn/42/34/1152509334-1_u_3.jpg,包邮 TP-LINK TL-WA832RE 无线中继wifi信号放大器路由扩展AP
http://product.dangdang.com/1487704556.html,7,145.00,http://img3x6.ddimg.cn/74/9/1487704556-1_u_2.jpg,包邮 TP-LINK WDR6320 AC1200千兆双频无线路由器穿墙5G家用光纤WIFI
http://product.dangdang.com/1024837539.html,9,19.90,http://img3x9.ddimg.cn/33/32/1024837539-1_u_1.jpg,BULL/公牛 GN-612插座 接线板插排插线板拖线电插座电源插座1.8米
http://product.dangdang.com/1436104637.html,1,99.00,http://img3x7.ddimg.cn/44/31/1436104637-1_u_2.jpg,飞利浦 SPS6443 4USB大嘴插座 接口插线板插排插 智能桌面充电脱拖线板 USB智能插座2.1A快速充电
http://product.dangdang.com/1392948701.html,5,293.00,http://img3x1.ddimg.cn/89/7/1392948701-1_u_2.jpg,闪迪（SanDisk）tf 128g class10 80m 至尊高速移动MicroSDXC UHS-I存储卡 TF卡 128GB Class10 读速80MB/s
http://product.dangdang.com/1260728339.html,0,460.00,http://img3x9.ddimg.cn/68/33/1260728339-1_u_1.jpg,东芝SD卡128G 95M 相机内存卡SDXC 128G 读95M写60M 支持4K高清 东芝银卡 128g
http://product.dangdang.com/1239395439.html,3,610.00,http://img3x9.ddimg.cn/84/1/1239395439-1_u_1.jpg,东芝 黑甲虫2tb移动硬盘 2TB 2.5寸 USB3.0 高速硬盘 2000G东芝硬盘2TB USB3.0
http://product.dangdang.com/1330230301.html,3,40.00,http://img3x1.ddimg.cn/70/11/1330230301-1_u_1.jpg,秋叶原（CHOSERL）Q550 升级版镀金插头逐行扫描VGA线 针/针 3米
http://product.dangdang.com/401018363.html,19,29.00,http://img3x3.ddimg.cn/53/5/401018363-1_u_4.jpg,【包邮】LUOBR 洛倍尔 苹果7数据线 IOS编织数据线/充电线苹果iPhone7/7Plus iPhone6s/6s Plus/ 5s、iPad Air iPad mini4充电线 1米手机数据线_银色
http://product.dangdang.com/1373518045.html,4,239.00,http://img3x5.ddimg.cn/64/12/1373518045-1_u_1.jpg,闪迪（SanDisk）高速系列 OTG 128G micro-USB 和 USB双接口 U盘 USB3.0 手机u盘
http://product.dangdang.com/1285625739.html,32,105.00,http://img3x9.ddimg.cn/57/22/1285625739-1_u_2.jpg,Kingston金士顿 猴盘 32g DTCNY16/32G 猴年限量纪念版U盘 32GB 金色
http://product.dangdang.com/1069200521.html,0,79.80,http://img3x1.ddimg.cn/26/14/1069200521-1_u_2.jpg,惠普（HP）U盘 v221w 32G 气质小U 金属银色32GB 迷你 时尚
http://product.dangdang.com/1376616630.html,0,129.00,http://img3x0.ddimg.cn/48/32/1376616630-1_u_4.jpg,"Logitech罗技无线键鼠套装MK245 罗技无线键盘+无线鼠标套装 Nano无线套装,笔记本HTPC迷你无线键盘鼠标套装 罗技MK240升级款"
http://product.dangdang.com/1297560707.html,8,129.00,http://img3x7.ddimg.cn/80/11/1297560707-1_u_1.jpg,双飞燕 7100N 无线键盘鼠标套装/键鼠套装
http://product.dangdang.com/1148263706.html,2,49.00,http://img3x6.ddimg.cn/29/8/1148263706-1_u_2.jpg,Microsoft/微软 精巧键盘200 黑色 USB接口键盘 全新盒装正品行货
http://product.dangdang.com/1254921002.html,5,129.00,http://img3x2.ddimg.cn/71/31/1254921002-1_u_1.jpg,包邮 雷柏 E9070 无线键盘 薄 不锈钢背壳 NANO接收器
http://product.dangdang.com/1022536348.html,31,39.00,http://img3x8.ddimg.cn/97/19/1022536348-1_u_1.jpg,DELUX/多彩 M136GX无线鼠标 笔记本台式电脑家用办公游戏省电
http://product.dangdang.com/1367770046.html,3,48.00,http://img3x6.ddimg.cn/5/0/1367770046-1_u_2.jpg,雷技 灵狐无声静音游戏专用鼠标CFLOL宏编程自定义电竞有线鼠标游戏芯片 四档变速 手感棒 背光炫光，让你上演超神秀
